"","Z.C1","Z.C2","Z.C3","Z.C4","Z.C5","Z.C6","Z.C7","Z.C8","Z.C9","Z.PCR1","X","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"OTU_10060",0,0,0,0,0,0,1,0,0,0,"10033","OTU_10060","High-MH","None","Eukaryota","Chlorophyta",NA,NA,NA,NA,NA
"OTU_1158",594,0,0,0,0,0,0,0,0,0," 1158","OTU_1158","Low","748630","Eukaryota","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","","Phaeococcomycetaceae sp. TRN456"
"OTU_1181",0,0,0,0,0,0,4,0,0,0," 1181","OTU_1181","High-MH","None","Eukaryota","Porifera","Demospongiae",NA,NA,NA,NA
"OTU_1192",22,0,5,0,0,0,0,0,0,29," 1192","OTU_1192","High","161814","Eukaryota","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Bacidina","Bacidina arnoldiana"
"OTU_1321",0,3,0,0,0,0,0,0,0,0," 1321","OTU_1321","High-MH","None","Eukaryota","Mollusca","Bivalvia","Ostreoida","Ostreidae",NA,NA
"OTU_1373",0,0,13,0,0,0,0,0,0,0," 1373","OTU_1373","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"OTU_1402",280,46,0,0,0,0,17,8,22,23," 1402","OTU_1402","High-MH","None","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Styela",NA
"OTU_1493",0,29,69,5,12,3,0,0,0,0," 1493","OTU_1493","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"OTU_1557",0,0,0,0,0,0,86,0,0,0," 1557","OTU_1557","High-MH","None","Eukaryota","Ascomycota",NA,NA,NA,NA,NA
"OTU_1647",3,0,0,0,4,0,0,4,0,0," 1647","OTU_1647","High-MH","None","Eukaryota","Chlorophyta",NA,NA,NA,NA,NA
"OTU_1837",0,0,19,0,0,0,0,0,0,0," 1837","OTU_1837","High-MH","None","Eukaryota","Chordata","Actinopteri",NA,NA,NA,NA
"OTU_184",0,0,0,11,0,0,0,0,0,0,"  184","OTU_184","High","79730","Eukaryota","Chordata","Ascidiacea","Enterogona","Ascidiidae","Ascidia","Ascidia sydneiensis"
"OTU_2071",0,0,100,0,85,0,0,0,0,0," 2070","OTU_2071","High-MH","None","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database"
"OTU_2097",222,0,0,0,0,0,0,0,0,0," 2096","OTU_2097","High-MH","None","Eukaryota","Streptophyta",NA,NA,NA,NA,NA
"OTU_21",0,0,0,0,0,0,9,0,0,0,"   21","OTU_21","High-MH","None","Eukaryota","Cryptophyta","",NA,NA,NA,NA
"OTU_2160",104,0,0,0,0,0,0,0,0,0," 2159","OTU_2160","Low","748630","Eukaryota","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","","Phaeococcomycetaceae sp. TRN456"
"OTU_2170",0,0,0,11,0,0,0,0,0,0," 2169","OTU_2170","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"OTU_2277",0,0,12,0,0,0,0,0,0,0," 2276","OTU_2277","High-MH","None","Eukaryota","Ciliophora","Oligohymenophorea","Philasterida",NA,NA,NA
"OTU_24",0,0,22,0,0,0,0,0,0,0,"   24","OTU_24","High-MH","None","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Styelidae",NA,NA
"OTU_2534",0,0,0,0,0,0,29,0,0,0," 2532","OTU_2534","High-MH","None","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Styelidae",NA,NA
"OTU_2802",4,0,37,5,0,0,0,0,0,0," 2800","OTU_2802","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"OTU_288",0,0,0,0,7,0,0,0,0,0,"  288","OTU_288","High","30301","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botryllus","Botryllus schlosseri"
"OTU_308",0,0,0,0,0,0,3,0,0,0,"  308","OTU_308","Low","46947","Eukaryota","Cryptophyta","","Pyrenomonadales","Geminigeraceae","Geminigera","Geminigera cryophila"
"OTU_32",0,258,0,0,0,0,10,0,0,0,"   32","OTU_32","High","201961","Eukaryota","Chordata","Ascidiacea","Enterogona","Ascidiidae","Ascidiella","Ascidiella aspersa"
"OTU_337",0,0,8,0,0,0,0,0,0,0,"  337","OTU_337","High-MH","None","Eukaryota","Mollusca","Bivalvia","Mytiloida","Mytilidae",NA,NA
"OTU_3420",0,0,0,0,24,0,0,0,0,0," 3416","OTU_3420","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"OTU_3697",0,0,0,0,0,0,0,0,4,0," 3691","OTU_3697","High-MH","None","Eukaryota","Chlorophyta","Trebouxiophyceae","Trebouxiales","Trebouxiaceae","Trebouxia",NA
"OTU_372",0,0,0,0,0,0,17,0,0,0,"  372","OTU_372","High","641206","Eukaryota","Ciliophora","Spirotrichea","","Strombidiidae","Strombidium","Strombidium conicum"
"OTU_379",182,235,200,46,86,74,133,58,201,275,"  379","OTU_379","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"OTU_3927",0,0,0,0,0,0,9,0,0,0," 3921","OTU_3927","Low","409284","Eukaryota","","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Paragymnodinium","Paragymnodinium shiwhaense"
"OTU_4004",0,0,0,0,0,0,40,0,0,0," 3998","OTU_4004","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"OTU_4049",0,0,7,0,0,0,0,0,0,0," 4043","OTU_4049","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"OTU_411",0,0,17,0,0,0,0,0,0,0,"  411","OTU_411","High-MH","None","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Styelidae",NA,NA
"OTU_4486",0,0,0,0,0,29,0,0,0,0," 4479","OTU_4486","High-MH","None","Eukaryota","Streptophyta","",NA,NA,NA,NA
"OTU_458",0,0,0,29,0,0,0,0,0,0,"  458","OTU_458","Low","30279","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Molgulidae","Molgula","Molgula complanata"
"OTU_4783",0,0,0,0,24,0,0,0,0,0," 4776","OTU_4783","High","3711","Eukaryota","Streptophyta","","Brassicales","Brassicaceae","Brassica","Brassica rapa"
"OTU_4941",0,0,50,0,0,0,0,0,0,0," 4934","OTU_4941","High-MH","None","Eukaryota","Streptophyta","",NA,NA,NA,NA
"OTU_5008",0,0,21,0,0,0,0,0,0,0," 5001","OTU_5008","Low","62808","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botrylloides","Botrylloides leachii"
"OTU_5010",0,0,0,0,0,0,21,0,0,0," 5003","OTU_5010","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"OTU_5011",0,0,0,0,0,0,15,0,0,0," 5004","OTU_5011","Low","1411939","Eukaryota","Mollusca","Bivalvia","Veneroida","Mesodesmatidae","Donacilla","Donacilla cornea"
"OTU_5093",0,0,20,0,0,0,0,0,0,0," 5086","OTU_5093","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"OTU_5094",0,0,20,0,0,0,0,0,0,0," 5087","OTU_5094","Low","1115597","Eukaryota","Ascomycota","Leotiomycetes","Helotiales","","Phialocephala","Phialocephala sp. AU_BD62"
"OTU_5179",0,0,0,0,0,0,12,0,0,0," 5172","OTU_5179","High-MH","None","Eukaryota","Chlorophyta","Ulvophyceae","Ulotrichales","Ulotrichaceae",NA,NA
"OTU_5285",0,0,25,0,0,0,0,0,0,0," 5278","OTU_5285","High-MH","None","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database"
"OTU_5514",0,0,0,0,16,0,0,0,0,0," 5506","OTU_5514","Low","650275","Eukaryota","Apicomplexa","Conoidasida","Eugregarinorida","Gregarinidae","Gregarina","Gregarina blattarum"
"OTU_5631",0,0,15,0,0,0,0,0,0,0," 5621","OTU_5631","Low","1835013","Eukaryota","Ascomycota","Collemopsidiomycetes","Collemopsidiales","Xanthopyreniaceae","Collemopsidium","Collemopsidium sp. C IGB-2016"
"OTU_5766",0,0,37,0,0,0,0,0,0,0," 5755","OTU_5766","High","1562576","Eukaryota","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Bradymyces","Bradymyces oncorhynchi"
"OTU_5897",0,0,13,0,0,0,0,0,0,0," 5885","OTU_5897","Low","265118","Eukaryota","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","Ascobolus crenulatus"
"OTU_618",0,0,0,0,0,5,0,0,0,0,"  618","OTU_618","Low","30279","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Molgulidae","Molgula","Molgula complanata"
"OTU_6237",11,0,0,0,0,0,0,0,0,0," 6225","OTU_6237","Low","7719","Eukaryota","Chordata","Ascidiacea","Enterogona","Cionidae","Ciona","Ciona intestinalis"
"OTU_6238",0,11,0,0,0,0,0,0,0,0," 6226","OTU_6238","Low","45318","Eukaryota","Streptophyta","","Caryophyllales","Aizoaceae","Tetragonia","Tetragonia tetragonoides"
"OTU_6239",0,0,0,0,0,11,0,0,0,0," 6227","OTU_6239","High-MH","None","Eukaryota","Arthropoda","Branchiopoda","Anostraca","Artemiidae","Artemia",NA
"OTU_6240",0,0,0,0,0,0,11,0,0,0," 6228","OTU_6240","High-MH","None","Eukaryota","Chlorophyta","Chlorophyceae","Chlamydomonadales","Dunaliellaceae","Dunaliella",NA
"OTU_6241",0,0,0,0,0,0,11,0,0,0," 6229","OTU_6241","High","904363","Eukaryota","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Apatococcus","Apatococcus lobatus"
"OTU_637",177,114,71,11,67,17,61,64,102,95,"  637","OTU_637","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"OTU_6627",0,0,9,0,0,0,0,0,0,0," 6615","OTU_6627","Low","173491","Eukaryota","Chlorophyta","Trebouxiophyceae","","","Jaagichlorella","Jaagichlorella sphaerica"
"OTU_6628",0,0,0,0,0,0,9,0,0,0," 6616","OTU_6628","High-MH","None","Eukaryota","Streptophyta","",NA,NA,NA,NA
"OTU_6629",0,0,0,0,0,0,4,0,0,0," 6617","OTU_6629","High-MH","None","Eukaryota","","","Choanoflagellida","Salpingoecidae",NA,NA
"OTU_67",0,3,0,0,0,0,0,0,0,0,"   67","OTU_67","High-MH","None","Eukaryota","Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva",NA
"OTU_6870",0,0,8,0,0,0,0,0,0,0," 6857","OTU_6870","Low","1077679","Eukaryota","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Hydropunctaria","Hydropunctaria rheitrophila"
"OTU_6871",0,0,0,0,0,0,0,8,0,0," 6858","OTU_6871","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"OTU_715",0,0,550,0,0,0,0,0,0,0,"  715","OTU_715","High-MH","None","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Symplegma",NA
"OTU_7162",0,0,0,0,0,0,7,0,0,0," 7149","OTU_7162","Low","1643343","Eukaryota","","Dinophyceae","Gymnodiniales","Warnowiaceae","Warnowia","Warnowia sp. 5 AR-2015"
"OTU_7163",0,0,0,0,0,0,7,0,0,0," 7150","OTU_7163","Low","470450","Eukaryota","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora proteae"
"OTU_744",0,6,0,0,0,0,0,0,0,0,"  744","OTU_744","Low","2116681","Eukaryota","Ciliophora","Oligohymenophorea","Sessilida","Vorticellidae","Pseudovorticella","Pseudovorticella sp. LW-2018a"
"OTU_7487",0,0,0,0,6,0,0,0,0,0," 7474","OTU_7487","Low","2012134","Eukaryota","Mucoromycota","Endogonomycetes","Endogonales","Endogonaceae","Endogone","Endogone sp."
"OTU_7896",0,0,5,0,0,0,0,0,0,0," 7882","OTU_7896","Low","1797455","Eukaryota","Arthropoda","Arachnida","Sarcoptiformes","Mochlozetidae","Unguizetes","Unguizetes incertus"
"OTU_7897",0,0,0,0,0,0,0,5,0,0," 7883","OTU_7897","Low","7719","Eukaryota","Chordata","Ascidiacea","Enterogona","Cionidae","Ciona","Ciona intestinalis"
"OTU_8",0,0,0,0,0,0,59,0,0,0,"    8","OTU_8","High-MH","None","Eukaryota","Ciliophora","Spirotrichea","","Strombidiidae","Strombidium",NA
"OTU_8381",0,0,4,0,0,0,0,0,0,0," 8365","OTU_8381","Low","1986327","Eukaryota","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Lepra","Lepra amara"
"OTU_8382",0,0,4,0,0,0,0,0,0,0," 8366","OTU_8382","High","202756","Eukaryota","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","Taphrina","Taphrina vestergrenii"
"OTU_8385",0,0,2,0,0,0,0,0,0,0," 8369","OTU_8385","Low","252172","Eukaryota","Ascomycota","Sordariomycetes","Coronophorales","Nitschkiaceae","Nitschkia","Nitschkia grevillei"
"OTU_8386",0,0,0,0,0,4,0,0,0,0," 8370","OTU_8386","High","2042497","Eukaryota","Ciliophora","Oligohymenophorea","Sessilida","Epistylidae","Epistylis","Epistylis elongata"
"OTU_8387",0,0,0,0,0,4,0,0,0,0," 8371","OTU_8387","High-MH","None","Eukaryota","Streptophyta","",NA,NA,NA,NA
"OTU_8388",0,0,0,0,0,0,4,0,0,0," 8372","OTU_8388","Low","1981927","Eukaryota","Arthropoda","Arachnida","Trombidiformes","Erythraeidae","Balaustium","Balaustium sp. SKPG001"
"OTU_8389",0,0,0,0,0,0,4,0,0,0," 8373","OTU_8389","High-MH","None","Eukaryota","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","Buellia",NA
"OTU_8970",0,0,3,0,0,0,0,0,0,0," 8954","OTU_8970","High-MH","None","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU_8971",0,0,3,0,0,0,0,0,0,0," 8955","OTU_8971","Low","1034628","Eukaryota","Chlorophyta","Ulvophyceae","Ulvales","","Pseudendoclonium","Pseudendoclonium incrustans"
"OTU_8972",0,0,0,3,0,0,0,0,0,0," 8956","OTU_8972","High","231624","Eukaryota","Rotifera","Bdelloidea","","","Rotaria","Rotaria rotatoria"
"OTU_8973",0,0,0,0,0,0,3,0,0,0," 8957","OTU_8973","High-MH","None","Eukaryota","Porifera","Calcarea",NA,NA,NA,NA
"OTU_8974",0,0,0,0,0,0,0,3,0,0," 8958","OTU_8974","High","1199099","Eukaryota","Chlorophyta","Chlorophyceae","Protosiphonales","Protosiphonaceae","Chlorochytrium","Chlorochytrium lemnae"
"OTU_918",0,0,0,0,0,0,9,0,0,0,"  918","OTU_918","High","398546","Eukaryota","Ciliophora","Oligohymenophorea","Sessilida","Vorticellidae","Pseudovorticella","Pseudovorticella sinensis"
"OTU_9588",0,0,2,0,0,0,0,0,0,0," 9565","OTU_9588","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"OTU_9589",0,0,0,0,0,2,0,0,0,0," 9566","OTU_9589","High-MH","None","Eukaryota","Cryptophyta","",NA,NA,NA,NA
"OTU_9590",0,0,0,0,0,2,0,0,0,0," 9567","OTU_9590","Low","321451","Eukaryota","Cercozoa","","Cercomonadida","Cercomonadidae","Cercomonas","Cercomonas sp. strain C-71"
"OTU_98",0,0,0,0,0,0,17,0,0,0,"   98","OTU_98","High","431183","Eukaryota","Chordata","Ascidiacea","Enterogona","Corellidae","Corella","Corella eumyota"
