"","Data.Method","Coast.P","SiteType.P","Disp.Coast.P","Disp.SiteType.P","Disp.Both.P"
"1","COI.All.Bray","0.001","0.506","0.109","0.315","0.048"
"2","COI.All.Jacc","0.001","0.551","0.173","0.178","0.005"
"3","COI.Clean.Bray","0.001","0.753","0.135","0.158","0"
"4","COI.Clean.Jacc","0.001","0.842","0.172","0.04","0"
"5","COI.Neat.Bray","0.001","0.74","0.416","0.948","0"
"6","COI.Neat.Jacc","0.001","0.827","0.225","0.954","0"
"7","18S.All.Bray","0.001","0.074","0.568","0.7","0"
"8","18S.All.Jacc","0.001","0.128","0.573","0.15","0"
"9","18S.Clean.Bray","0.002","0.25","0.286","0.395","0"
"10","18S.Clean.Jacc","0.002","0.35","0.425","0.053","0"
"11","18S.Neat.Bray","0.002","0.108","0.233","0.208","0.001"
"12","18S.Neat.Jacc","0.004","0.119","0.012","0.211","0"
"13","ProK.All.Bray","0.001","0.543","0.052","0.5","0.104"
"14","ProK.All.Jacc","0.001","0.595","0.077","0.392","0.029"
"15","ProK.Clean.Bray","0.001","0.652","0.036","0.38","0.027"
"16","ProK.Clean.Jacc","0.001","0.785","0.029","0.25","0.001"
"17","ProK.Neat.Bray","0.005","0.719","0.014","0.767","0.045"
"18","ProK.Neat.Jacc","0.003","0.816","0.001","0.79","0.005"
